slope_id,road,ic_from,ic_to,direction,kp_from,kp_to,kp_center,length_m,tiers,lat,lon
NORI_0131,新東名高速道路,藤枝岡部,島田金谷,下り線,142.845,142.966,142.90550000000002,121.0,9,34.88916900542994,138.22315866904896
NORI_0132,新東名高速道路,藤枝岡部,島田金谷,下り線,142.991,143.061,143.026,70.0,1,34.888728463844565,138.22197311550966
NORI_0133,新東名高速道路,藤枝岡部,島田金谷,下り線,143.053,143.091,143.072,38.0,2,34.8885602902933,138.22152053905484
NORI_0134,新東名高速道路,藤枝岡部,島田金谷,上り線,143.057,143.107,143.082,50.0,4,34.88852373082564,138.221422152869
NORI_0135,新東名高速道路,藤枝岡部,島田金谷,下り線,143.513,143.534,143.5235,21.0,3,34.88711750152122,138.21697294558177
NORI_0136,新東名高速道路,藤枝岡部,島田金谷,上り線,143.468,143.499,143.4835,31.0,3,34.8872436127691,138.21737670096036
NORI_0137,新東名高速道路,藤枝岡部,島田金谷,下り線,143.988,144.052,144.01999999999998,64.0,1,34.885763660482056,138.21187185244946
NORI_0138,新東名高速道路,藤枝岡部,島田金谷,下り線,144.026,144.056,144.041,30.0,1,34.88570782657348,138.21165549203576
NORI_0139,新東名高速道路,藤枝岡部,島田金谷,上下線共有,144.147,144.362,144.2545,215.0,5,34.88514223688676,138.20945507676845
NORI_0140,新東名高速道路,藤枝岡部,島田金谷,下り線,144.553,144.604,144.57850000000002,51.0,3,34.88435213015868,138.20609087537153
NORI_0141,新東名高速道路,藤枝岡部,島田金谷,上り線,144.565,144.596,144.5805,31.0,3,34.88434725295666,138.20607010869622
NORI_0142,新東名高速道路,藤枝岡部,島田金谷,下り線,144.623,144.661,144.642,38.0,4,34.88419322101784,138.2054329777543
NORI_0143,新東名高速道路,藤枝岡部,島田金谷,上り線,144.618,144.673,144.6455,55.0,1,34.88418444823236,138.2053967206688
NORI_0144,新東名高速道路,藤枝岡部,島田金谷,上り線,144.626,144.687,144.6565,61.0,1,34.88415687662087,138.20528276982859
NORI_0145,新東名高速道路,藤枝岡部,島田金谷,上り線,144.64,144.661,144.6505,21.0,1,34.884171915681684,138.20534492483233
NORI_0146,新東名高速道路,藤枝岡部,島田金谷,上り線,144.67,144.714,144.692,44.0,3,34.884067895511045,138.20491501938972
NORI_0147,新東名高速道路,藤枝岡部,島田金谷,下り線,147.239,147.332,147.2855,93.0,6,34.87597295856229,138.1787436503149
NORI_0148,新東名高速道路,藤枝岡部,島田金谷,上り線,147.306,147.346,147.32600000000002,40.0,3,34.8758254096062,138.17834496414986
NORI_0149,新東名高速道路,藤枝岡部,島田金谷,下り線,147.546,147.622,147.584,76.0,3,34.874867343256426,138.17581533200135
NORI_0150,新東名高速道路,藤枝岡部,島田金谷,上り線,147.597,147.633,147.615,36.0,2,34.87475155171816,138.1755117618427
NORI_0151,新東名高速道路,藤枝岡部,島田金谷,上下線共有,147.959,148.018,147.9885,59.0,5,34.8733522491857,138.17185666582833
NORI_0152,新東名高速道路,藤枝岡部,島田金谷,上下線共有,148.008,148.059,148.0335,51.0,3,34.873183550396554,138.17141635547517
NORI_0153,新東名高速道路,藤枝岡部,島田金谷,下り線,148.002,148.076,148.039,74.0,1,34.873162931655656,138.17136253976537
NORI_0154,新東名高速道路,藤枝岡部,島田金谷,上り線,148.072,148.143,148.10750000000002,71.0,3,34.87290440580378,138.17069329869858
NORI_0155,新東名高速道路,藤枝岡部,島田金谷,下り線,148.31,148.349,148.3295,39.0,4,34.872040788507505,138.1685394121922
NORI_0156,新東名高速道路,藤枝岡部,島田金谷,上り線,148.339,148.37,148.3545,31.0,3,34.871943534307476,138.16829685740544
NORI_0157,新東名高速道路,藤枝岡部,島田金谷,上り線,148.707,148.728,148.7175,21.0,1,34.87044020482061,138.1648331285936
NORI_0158,新東名高速道路,藤枝岡部,島田金谷,上下線共有,148.705,148.796,148.7505,91.0,7,34.8702977168076,138.16452195725222
NORI_0159,新東名高速道路,藤枝岡部,島田金谷,上り線,148.811,148.827,148.81900000000002,16.0,1,34.87000194623513,138.16387604098296
NORI_0160,新東名高速道路,藤枝岡部,島田金谷,下り線,148.833,148.93,148.88150000000002,97.0,2,34.869724809461886,138.16329208401652
NORI_0161,新東名高速道路,藤枝岡部,島田金谷,上り線,148.869,148.933,148.901,64.0,3,34.86962985294681,138.16311617261726
NORI_0162,新東名高速道路,藤枝岡部,島田金谷,下り線,150.162,150.232,150.197,70.0,4,34.86288085116975,138.15180169978638
NORI_0163,新東名高速道路,藤枝岡部,島田金谷,上り線,150.205,150.258,150.2315,53.0,3,34.862695224281495,138.15150573961284
NORI_0164,新東名高速道路,藤枝岡部,島田金谷,上り線,150.208,150.246,150.227,38.0,1,34.86271943648431,138.15154434311376
NORI_0165,新東名高速道路,藤枝岡部,島田金谷,下り線,150.277,150.296,150.2865,19.0,2,34.86240548924268,138.15102830868287
NORI_0166,新東名高速道路,藤枝岡部,島田金谷,上り線,150.292,150.316,150.304,24.0,2,34.86231447020592,138.1508753392815
NORI_0167,新東名高速道路,藤枝岡部,島田金谷,上り線,150.311,150.333,150.322,22.0,2,34.86222085062525,138.15071799932582
NORI_0168,新東名高速道路,藤枝岡部,島田金谷,上り線,150.65,150.67,150.66,20.0,1,34.86046947397058,138.14775798652337
NORI_0169,新東名高速道路,藤枝岡部,島田金谷,下り線,150.654,150.68,150.667,26.0,1,34.86043564336566,138.14769464126232
NORI_0170,新東名高速道路,藤枝岡部,島田金谷,上り線,150.664,150.778,150.721,114.0,5,34.8601746644134,138.14720597782002
NORI_0171,新東名高速道路,藤枝岡部,島田金谷,上り線,150.778,150.878,150.82799999999997,100.0,4,34.85965753945243,138.14623770025838
NORI_0172,新東名高速道路,藤枝岡部,島田金谷,上り線,151.004,151.314,151.159,310.0,11,34.85817028540337,138.143158781754
NORI_0173,新東名高速道路,藤枝岡部,島田金谷,下り線,151.071,151.246,151.1585,175.0,7,34.85817248205584,138.14316346982346
NORI_0174,新東名高速道路,藤枝岡部,島田金谷,上り線,151.119,151.341,151.23000000000002,222.0,1,34.8578857992316,138.1424752567508
NORI_0175,新東名高速道路,藤枝岡部,島田金谷,下り線,151.246,151.424,151.335,178.0,6,34.85747215062598,138.14145981825618
NORI_0176,新東名高速道路,藤枝岡部,島田金谷,下り線,152.326,152.571,152.4485,245.0,2,34.85367404990005,138.13036952993966
NORI_0177,新東名高速道路,藤枝岡部,島田金谷,上り線,152.374,152.674,152.524,300.0,2,34.853403692235176,138.12962412734504
NORI_0178,新東名高速道路,藤枝岡部,島田金谷,下り線,152.586,152.76,152.673,174.0,3,34.85285810590762,138.12815928620424
NORI_0179,新東名高速道路,島田金谷,森掛川,上り線,154.042,154.073,154.0575,31.0,1,34.84736739675447,138.1147292306087
NORI_0180,新東名高速道路,島田金谷,森掛川,上り線,154.106,154.428,154.267,322.0,7,34.8468057344006,138.11255080989523
NORI_0181,新東名高速道路,島田金谷,森掛川,下り線,154.114,154.294,154.204,180.0,1,34.84696468914307,138.1132101962875
NORI_0182,新東名高速道路,島田金谷,森掛川,上り線,154.163,154.374,154.26850000000002,211.0,9,34.84680194976387,138.11253511021923
NORI_0183,新東名高速道路,島田金谷,森掛川,下り線,154.449,154.568,154.50850000000003,119.0,1,34.84621343847643,138.11001763973934
NORI_0184,新東名高速道路,島田金谷,森掛川,上り線,154.457,154.584,154.5205,127.0,4,34.84618844497285,138.10989032908049
NORI_0185,新東名高速道路,島田金谷,森掛川,上り線,155.068,155.422,155.245,354.0,1,34.845399,138.10207593633356
NORI_0186,新東名高速道路,島田金谷,森掛川,上下線共有,155.073,155.109,155.091,36.0,1,34.845399,138.10375583871883
NORI_0187,新東名高速道路,島田金谷,森掛川,上下線共有,155.162,155.236,155.199,74.0,1,34.845399,138.10257772535775
NORI_0188,新東名高速道路,島田金谷,森掛川,下り線,155.266,155.405,155.3355,139.0,7,34.845399,138.1010887209708
NORI_0189,新東名高速道路,島田金谷,森掛川,下り線,155.463,155.529,155.49599999999998,66.0,2,34.845399,138.09933791361473
NORI_0190,新東名高速道路,島田金谷,森掛川,上下線共有,155.527,155.559,155.543,32.0,1,34.845399,138.09882521613352
NORI_0191,新東名高速道路,島田金谷,森掛川,下り線,159.866,159.907,159.8865,41.0,2,34.842556300671205,138.05187200706607
NORI_0192,新東名高速道路,島田金谷,森掛川,上り線,159.882,159.934,159.90800000000002,52.0,2,34.84250866962053,138.05164479219545
NORI_0193,新東名高速道路,島田金谷,森掛川,下り線,159.924,160.011,159.9675,87.0,3,34.842379656795224,138.0510150867386
NORI_0194,新東名高速道路,島田金谷,森掛川,下り線,159.938,160.362,160.14999999999998,424.0,2,34.84196794800204,138.04908880192795
NORI_0195,新東名高速道路,島田金谷,森掛川,上り線,159.946,160.368,160.15699999999998,422.0,1,34.841951060788254,138.0490152707602
NORI_0196,新東名高速道路,島田金谷,森掛川,上り線,159.973,160.22,160.0965,247.0,11,34.842097014564565,138.04965079013843
NORI_0197,新東名高速道路,島田金谷,森掛川,下り線,160.011,160.137,160.074,126.0,5,34.84214873467934,138.04988796688724
NORI_0198,新東名高速道路,島田金谷,森掛川,下り線,160.137,160.292,160.2145,155.0,6,34.84181234438928,138.0484112647396
NORI_0199,新東名高速道路,島田金谷,森掛川,上り線,160.22,160.363,160.29149999999998,143.0,6,34.841626585037616,138.04760242189457
NORI_0200,新東名高速道路,島田金谷,森掛川,下り線,160.36,160.408,160.38400000000001,48.0,4,34.841403432569706,138.0466307600353
NORI_0201,新東名高速道路,島田金谷,森掛川,上り線,160.41,160.785,160.5975,375.0,1,34.840939026042456,138.04437266091233
NORI_0202,新東名高速道路,島田金谷,森掛川,上下線共有,160.42,160.748,160.584,348.0,1,34.84096498562034,138.04451648002185
NORI_0203,新東名高速道路,島田金谷,森掛川,下り線,160.466,160.501,160.4835,35.0,3,34.84116339288801,138.04558556700832
NORI_0204,新東名高速道路,島田金谷,森掛川,上下線共有,160.913,161.078,160.9955,165.0,1,34.84036990634156,138.0400918098282
NORI_0205,新東名高速道路,島田金谷,森掛川,上り線,160.967,161.055,161.01100000000002,88.0,8,34.84035300191428,138.03992399816988
NORI_0206,新東名高速道路,島田金谷,森掛川,上り線,161.084,161.17,161.127,86.0,7,34.84023560218313,138.03866713436676
NORI_0207,新東名高速道路,島田金谷,森掛川,上り線,161.17,161.52,161.345,350.0,1,34.84012906098366,138.03629278763574
NORI_0208,新東名高速道路,島田金谷,森掛川,上り線,161.17,161.37,161.26999999999998,200.0,9,34.84016571506604,138.03710965004322
NORI_0209,新東名高速道路,島田金谷,森掛川,下り線,161.178,161.468,161.32299999999998,290.0,1,34.84013981284782,138.0365324006086
NORI_0210,新東名高速道路,島田金谷,森掛川,上り線,161.264,161.564,161.414,300.0,1,34.84009645727686,138.0355412627623
NORI_0211,新東名高速道路,島田金谷,森掛川,下り線,161.276,161.582,161.429,306.0,1,34.84010153045183,138.03537776315568
NORI_0212,新東名高速道路,島田金谷,森掛川,上り線,161.37,161.622,161.496,252.0,9,34.8401241906334,138.03464746491284
NORI_0213,新東名高速道路,島田金谷,森掛川,上下線共有,161.691,161.758,161.7245,67.0,1,34.840224451824604,138.03215878550822
NORI_0214,新東名高速道路,島田金谷,森掛川,上下線共有,161.821,161.898,161.8595,77.0,1,34.84034799239009,138.03069394737463
NORI_0215,新東名高速道路,島田金谷,森掛川,上り線,161.807,161.864,161.8355,57.0,3,34.840326029622894,138.0309543630428
NORI_0216,新東名高速道路,島田金谷,森掛川,上下線共有,161.904,162.159,162.0315,255.0,8,34.84050539222167,138.0288276350859
NORI_0217,新東名高速道路,島田金谷,森掛川,下り線,162.547,162.567,162.55700000000002,20.0,2,34.841465576600704,138.0232260131127
NORI_0218,新東名高速道路,島田金谷,森掛川,上り線,162.547,162.559,162.553,12.0,1,34.841455524671424,138.0232678906585
NORI_0219,新東名高速道路,島田金谷,森掛川,上り線,162.611,162.658,162.6345,47.0,2,34.84166033273057,138.0224146356624
NORI_0220,新東名高速道路,島田金谷,森掛川,下り線,162.633,162.783,162.708,150.0,3,34.84184503693115,138.0216451357579
NORI_0221,新東名高速道路,島田金谷,森掛川,上下線共有,162.653,162.793,162.723,140.0,2,34.841882731665955,138.02148809496106
NORI_0222,新東名高速道路,島田金谷,森掛川,上り線,162.658,162.779,162.7185,121.0,8,34.841871423245514,138.02153520720012
NORI_0223,新東名高速道路,島田金谷,森掛川,上り線,162.802,162.888,162.845,86.0,6,34.84219010887634,138.02021110050828
NORI_0224,新東名高速道路,島田金谷,森掛川,下り線,162.833,162.946,162.8895,113.0,2,34.842302272250755,138.01974532733766
NORI_0225,新東名高速道路,島田金谷,森掛川,上下線共有,162.859,162.938,162.8985,79.0,2,34.84232495697816,138.01965112602227
NORI_0226,新東名高速道路,島田金谷,森掛川,下り線,162.969,162.983,162.976,14.0,2,34.84252029768641,138.01883994802853
NORI_0227,新東名高速道路,島田金谷,森掛川,上り線,162.922,162.945,162.93349999999998,23.0,2,34.84241317536253,138.0192847875735
NORI_0228,新東名高速道路,島田金谷,森掛川,上り線,163.638,163.717,163.6775,79.0,3,34.843882548445094,138.01138343885833
NORI_0229,新東名高速道路,島田金谷,森掛川,下り線,163.647,163.682,163.66449999999998,35.0,1,34.84387259761633,138.0115247269955
NORI_0230,新東名高速道路,島田金谷,森掛川,下り線,163.71,163.899,163.80450000000002,189.0,3,34.84397976038765,138.0100031624412
NORI_0231,新東名高速道路,島田金谷,森掛川,上り線,163.71,163.97,163.84,260.0,7,34.84400693380466,138.00961733714348
NORI_0232,新東名高速道路,島田金谷,森掛川,上り線,163.725,163.858,163.79149999999998,133.0,1,34.84396980955888,138.01014445057837
NORI_0233,新東名高速道路,島田金谷,森掛川,上り線,163.888,163.946,163.917,58.0,2,34.84404138910951,138.00877846855983
NORI_0234,新東名高速道路,島田金谷,森掛川,上下線共有,163.958,164.131,164.0445,173.0,5,34.844096968841015,138.00738931211913
NORI_0235,新東名高速道路,島田金谷,森掛川,上り線,163.97,164.05,164.01,80.0,6,34.84408192961955,138.00776520150896
NORI_0236,新東名高速道路,島田金谷,森掛川,下り線,164.133,164.593,164.363,460.0,2,34.844094515379325,138.0039203457083
NORI_0237,新東名高速道路,島田金谷,森掛川,下り線,164.298,164.616,164.457,318.0,3,34.84404182101525,138.00289697941994
NORI_0238,新東名高速道路,島田金谷,森掛川,上下線共有,164.526,164.595,164.5605,69.0,1,34.843983801156945,138.00177018781525
NORI_0239,新東名高速道路,島田金谷,森掛川,上り線,164.761,165.133,164.947,372.0,1,34.84338170945485,137.99762302241345
NORI_0240,新東名高速道路,島田金谷,森掛川,下り線,164.763,165.088,164.9255,325.0,1,34.8434287198563,137.997850445958
NORI_0241,新東名高速道路,島田金谷,森掛川,下り線,165.128,165.198,165.163,70.0,3,34.84284462315418,137.9953618854697
NORI_0242,新東名高速道路,島田金谷,森掛川,上り線,165.146,165.34,165.243,194.0,1,34.842608626454314,137.99453797484097
NORI_0243,新東名高速道路,島田金谷,森掛川,下り線,165.203,165.376,165.2895,173.0,3,34.84247145337252,137.99405907678803
NORI_0244,新東名高速道路,島田金谷,森掛川,上り線,165.316,165.34,165.328,24.0,1,34.84235787996071,137.99366256979795
NORI_0245,新東名高速道路,島田金谷,森掛川,上下線共有,165.403,165.538,165.47050000000002,135.0,1,34.841910966267314,137.9922085137607
NORI_0246,新東名高速道路,島田金谷,森掛川,下り線,165.438,165.739,165.5885,301.0,5,34.841445147412266,137.99105327154794
NORI_0247,新東名高速道路,島田金谷,森掛川,上下線共有,165.593,165.648,165.6205,55.0,1,34.84131882365496,137.99073998552413
NORI_0248,新東名高速道路,島田金谷,森掛川,上り線,165.667,165.75,165.70850000000002,83.0,4,34.84097143332237,137.9898784489587
NORI_0249,新東名高速道路,島田金谷,森掛川,上下線共有,166.452,166.592,166.522,140.0,5,34.83783415746394,137.98187897471362
NORI_0250,新東名高速道路,島田金谷,森掛川,下り線,166.597,166.643,166.62,46.0,1,34.837533278742576,137.98087487033493
NORI_0251,新東名高速道路,島田金谷,森掛川,下り線,166.63,166.981,166.8055,351.0,3,34.83696838606528,137.97897221964053
NORI_0252,新東名高速道路,島田金谷,森掛川,下り線,166.643,166.851,166.747,208.0,3,34.83714457516955,137.97957310337674
NORI_0253,新東名高速道路,島田金谷,森掛川,上下線共有,166.728,167.01,166.869,282.0,1,34.8367771380632,137.97831997832
NORI_0254,新東名高速道路,島田金谷,森掛川,上り線,166.81,166.907,166.8585,97.0,1,34.836808761748586,137.978427829247
NORI_0255,新東名高速道路,島田金谷,森掛川,上り線,166.94,167.034,166.987,94.0,1,34.83642174807509,137.9771079393307
NORI_0256,新東名高速道路,島田金谷,森掛川,下り線,167.108,167.3,167.204,192.0,1,34.83576819191051,137.9748790201724
NORI_0257,新東名高速道路,島田金谷,森掛川,下り線,167.238,167.333,167.2855,95.0,5,34.83552249584536,137.97404199849862
NORI_0258,新東名高速道路,島田金谷,森掛川,下り線,168.888,169.238,169.063,350.0,1,34.82979955119921,137.9559596680812
NORI_0259,新東名高速道路,島田金谷,森掛川,上り線,168.92,169.24,169.07999999999998,320.0,5,34.829737993306345,137.95579010342982
NORI_0260,新東名高速道路,島田金谷,森掛川,上り線,169.511,169.61,169.5605,99.0,1,34.8279925426506,137.9510004403575
NORI_0261,新東名高速道路,島田金谷,森掛川,上り線,169.763,169.873,169.81799999999998,110.0,1,34.82704992070476,137.94843762248505
NORI_0262,新東名高速道路,森掛川,浜松浜北,下り線,170.928,171.158,171.043,230.0,3,34.82342074989553,137.9356246727466
NORI_0263,新東名高速道路,森掛川,浜松浜北,上り線,170.945,171.057,171.00099999999998,112.0,1,34.82350915813569,137.9360841170728
